source_id,category,focus_area,name,organization,url,access_type,data_type,license_notes,recommended_use,priority,last_verified,notes
IN-CLEVER-START,integration_api,integration,"Clever API Getting Started",Clever,https://dev.clever.com/docs/getting-started,public,api_docs,"Clever developer terms and district permissions apply.","Integrate SSO and roster sync in district pilots.",1,2026-02-22,"High value for K-12 onboarding."
IN-CLEVER-USERINFO,integration_api,integration,"Clever Userinfo Endpoint",Clever,https://dev.clever.com/docs/the-userinfo-endpoint,public,api_docs,"Clever OAuth and permission scopes apply.","Map authenticated educator identity to workspace tenancy.",1,2026-02-22,"Use principle of least privilege for claims."
IN-EDLINK-API,integration_api,integration,"Edlink API Documentation",Edlink,https://ed.link/docs/api,public,api_docs,"Edlink terms apply for API usage.","Use unified API abstraction across SIS and LMS providers.",2,2026-02-22,"Can reduce integration engineering effort."
IN-EDLINK-SANDBOX,integration_api,integration,"Edlink Sandbox Access",Edlink,https://ed.link/docs/start/build/getting-sandbox-access,public,sandbox_docs,"Sandbox access process documented by provider.","Set up safe integration testing before district production access.",2,2026-02-22,"Useful for pre-pilot end-to-end testing."
IN-GCLASSROOM,integration_api,integration,"Google Classroom API",Google,https://developers.google.com/workspace/classroom,public,api_docs,"API usage governed by Google terms and Workspace policies.","Sync classes, coursework metadata, and assignment context.",1,2026-02-22,"Priority integration for teacher adoption."
IN-GDOCSAPI,integration_api,integration,"Google Docs API",Google,https://developers.google.com/docs/api,public,api_docs,"API usage governed by Google terms.","Export structured outputs to editable Docs format.",1,2026-02-22,"Core for teacher preferred deliverables."
IN-GDRIVEAPI,integration_api,integration,"Google Drive API",Google,https://developers.google.com/drive/api,public,api_docs,"API usage governed by Google terms and OAuth scopes.","Store and share generated artifacts with teacher ownership.",1,2026-02-22,"Use scoped permissions and tenant boundaries."
IN-GSLIDESAPI,integration_api,integration,"Google Slides API Overview",Google,https://developers.google.com/workspace/slides/api/guides/overview,public,api_docs,"API usage governed by Google terms.","Generate and update slide decks programmatically.",1,2026-02-22,"Needed for one-shot lesson deck generation."
IN-MS-GRAPH-EDU,integration_api,integration,"Microsoft Graph Education Overview",Microsoft,https://learn.microsoft.com/en-us/graph/api/resources/education-overview?view=graph-rest-1.0,public,api_docs,"Microsoft Graph and tenant permissions apply.","Support districts using Microsoft ecosystems and Teams.",3,2026-02-22,"Phase after core Google and LMS priorities."
IN-SCHOOLOGY-API,integration_api,integration,"Schoology API Documentation","PowerSchool Schoology",https://developers.schoology.com/api/,public,api_docs,"Schoology developer terms apply.","Enable district workflows where Schoology is primary LMS.",2,2026-02-22,"Verify tenant-specific API permissions in pilots."
PR-SDPC-NDPA,procurement_privacy,district_procurement,"Student Data Privacy Consortium National DPA","Access For Learning Community",https://privacy.a4l.org/national-dpa/,public,contract_template,"Template agreement use may require district legal adaptation.","Accelerate district procurement and legal review cycles.",1,2026-02-22,"High leverage for enterprise sales process."
DS-CRDC,public_dataset,equity_reporting,"Civil Rights Data Collection","US Department of Education OCR",https://www.ed.gov/laws-and-policy/civil-rights-laws/civil-rights-data-collection-crdc,public,dataset_portal,"Federal publication terms apply.","Support equity and compliance analytics in district dashboards.",2,2026-02-22,"Do not mix aggregate CRDC with student level confidential data."
DS-EDFACTS-SPECS-2526,public_dataset,district_intelligence,"EDFacts File Specifications SY 2025-26","US Department of Education",https://www.ed.gov/data/edfacts-initiative/edfacts-resources/edfacts-file-specifications/edfacts-file-specifications-sy-2025-26,public,spec_docs,"Federal publication terms apply.","Align derived metrics and state reporting compatibility.",1,2026-02-22,"High relevance for DOE oriented deployments."
DS-IDEA-618,public_dataset,special_education,"IDEA Section 618 Data Products","US Department of Education OSEP",https://www.ed.gov/idea-section-618-data-products,public,dataset_portal,"Federal publication terms apply.","Benchmark special education trends and planning contexts.",2,2026-02-22,"Useful for SPED product planning and external reporting context."
DS-NCES-CCD,public_dataset,district_intelligence,"NCES Common Core Of Data Files","National Center for Education Statistics",https://nces.ed.gov/ccd/files.asp,public,dataset_portal,"Federal education data publication terms apply.","Benchmark district and school context for pilot targeting.",1,2026-02-22,"Useful for go-to-market segmentation and analytics."
DS-NCES-ELSI,public_dataset,district_intelligence,"NCES Education Demographic And Geographic Estimates","National Center for Education Statistics",https://nces.ed.gov/programs/edge/,public,dataset_portal,"Federal publication terms apply.","Use demographic and boundary context for district prioritization.",3,2026-02-22,"Helpful for market planning, not core runtime logic."
PR-RAND-AI-SCHOOLS,research_evidence,district_policy,"RAND AI Use In Schools Report","RAND Corporation",https://www.rand.org/content/dam/rand/pubs/research_reports/RRA100/RRA134-25/RAND_RRA134-25.pdf,public,research_report,"RAND publication terms apply.","Ground product strategy in teacher and principal adoption realities.",2,2026-02-22,"Use for external-facing evidence and investor narratives."
ST-1EDTECH-SPECS,standards_framework,integration,"1EdTech Open Specifications",1EdTech,https://standards.1edtech.org/,public,spec_portal,"Specification portal for official standards artifacts.","Reference authoritative technical standards during API design.",2,2026-02-22,"Cross-check all 1EdTech implementation claims."
ST-CCSS-HOME,standards_framework,general_education,"Common Core State Standards",CCSSI,https://corestandards.org/,public,standards_docs,"Public educational standards. Check site terms for attribution guidance.","Align ELA and math lesson outputs to grade level standards.",1,2026-02-22,"Foundation alignment source for general education workflows."
ST-CCSS-TERMS,standards_framework,general_education,"Common Core Terms Of Use",CCSSI,https://corestandards.org/terms-of-use/,public,license_terms,"Use terms published by CCSSI.","Capture attribution and reuse limits in export metadata.",2,2026-02-22,"Legal terms reference for standards usage."
ST-CEDS,standards_framework,district_data,"Common Education Data Standards","US Department of Education",https://ceds.ed.gov/,public,data_standard,"Open federal interoperability standard resources.","Map internal data model fields to district-compatible standard elements.",2,2026-02-22,"Useful for long-term district interoperability."
ST-EDFI-REFERENCE,standards_framework,district_data,"Ed-Fi Data Standards Reference","Ed-Fi Alliance",https://docs.ed-fi.org/reference/data-exchange/data-standards/,public,reference_docs,"Reference docs and versioned schemas.","Use exact field definitions when designing ingestion and validation.",1,2026-02-22,"Use with version pinning to avoid schema drift."
ST-EDFI-STANDARD,standards_framework,district_data,"Ed-Fi Data Standard Overview","Ed-Fi Alliance",https://www.ed-fi.org/ed-fi-data-standard/,public,data_standard,"Open standard with implementation docs.","Normalize roster, enrollment, attendance, and assessment entities.",1,2026-02-22,"Important for SIS and state reporting compatibility."
ST-LTI,standards_framework,integration,"1EdTech LTI Standard",1EdTech,https://www.1edtech.org/standards/lti,public,interop_standard,"LTI standard resources for tool interoperability.","Support LMS launch and assignment workflow integration.",2,2026-02-22,"Needed for Canvas and Schoology integration paths."
ST-NGSS-STANDARDS,standards_framework,general_education,"Next Generation Science Standards","NGSS Lead States",https://www.nextgenscience.org/standards,public,standards_docs,"Standards content available publicly with site terms.","Tag science lesson artifacts with NGSS dimensions and performance expectations.",1,2026-02-22,"Core science alignment source for grades 6 to 12."
ST-ONEROSTER,standards_framework,district_data,"1EdTech OneRoster Standard",1EdTech,https://www.1edtech.org/standards/oneroster,public,interop_standard,"Standard specification access with membership options for deeper resources.","Support district roster sync and class structure import.",1,2026-02-22,"High priority for district launch integrations."
ST-WIDA-ELD,standards_framework,esl_ell,"WIDA English Language Development Standards","WIDA Consortium",https://wida.wisc.edu/teach/standards/eld,licensed,framework_docs,"WIDA materials can require license or member access depending on use.","Drive ESL scaffolding, language objective generation, and proficiency-aware outputs.",1,2026-02-22,"Critical for ESL credibility and district acceptance."
